"customerid","name","country","state","gender","dob","interests","pincode"
"0002-ORFBO",keshav,India,Maharashtra,Male,"1982-04-12 00:00:00",travel,
"0003-MKNFE",raghav,India,Karnataka,Male,"1995-11-23 00:00:00",,
"0004-TLHLJ",lalita,India,Delhi,Female,"1978-02-15 00:00:00",movie,
"0011-IGKFF",mohan,India,Nagaland,Male,"2001-08-30 00:00:00",,
"0013-EXCHZ",mira,India,Delhi,Female,"1990-05-05 00:00:00",drama,
"0013-MHZWF",durga,,Delhi,Women,"1988-12-10 00:00:00",,
"0013-SMEOE",mina,India,Meghalaya,Female,"1976-09-21 00:00:00",,
"0014-BMAQU",madan,India,Rajasthan,Male,"1999-03-14 00:00:00",,
"0015-UOCOJ",maya,,Kathmandu,Women,"1985-07-07 00:00:00",,
"0016-QLJIS",arjun,Nepal,Kathmandu,Male,"1993-10-29 00:00:00",,
"0017-DINOC",shiva,India,Maharashtra,Men,"1997-01-22 00:00:00",,
"0017-IUDMW",rangadevi,India,Karnataka,Female,"1981-06-18 00:00:00",,
"0018-NYROU",chitra,,Telangana,Female,"2004-12-01 00:00:00",,
"0019-EFAEP",raju,India,Meghalaya,Female,"1992-04-25 00:00:00",,
"0019-GFNTW",Madhav,India,Uttar Pradesh,Men,"1979-11-11 00:00:00",,
"0020-INWCK",parvati,India,Delhi,Female,"1986-02-28 00:00:00",job,
"0020-JDNXP",rikim,India,Meghalaya,Female,"1994-08-19 00:00:00",,
"0021-IKXGC",vishakha,India,Rajasthan,Female,"2000-09-02 00:00:00",,
"0022-TCJCI",raghvendra,India,Telangana,Male,"1983-12-30 00:00:00",,
"0023-HGHWL",rishabh,India,Uttar Pradesh,Men,"1991-05-14 00:00:00",,
"0023-UYUPN",sudevi,India,Maharashtra,Women,"1977-10-06 00:00:00",,
