customerid,customer_name,gender,country,state,dob,subscription_start_date,subscription_type,renewal_date,plan_type,contract_type,cancellation_date,cancellation_reason,monthly_charges,cltv,churn_score,churn_flag,escalations,csat_score,complaint_count
100001,Aryan Maharaj,Male,India,Delhi,1996-05-04,2024-11-22 01:37:15,Premium,2025-02-09 01:37:15,Premium,Monthly,,Active,1471,24859.9,35,0,0,5,0
100002,Udant Dewan,Female,India,Delhi,1967-05-14,2022-06-18 22:15:15,Regular,2022-10-22 22:15:15,Standard,Monthly,,Active,687,22671.0,42,0,0,5,1
100003,Gagan Sami,Female,India,Uttar Pradesh,2005-10-01,2024-01-02 00:34:28,Regular,2024-10-09 00:34:28,Standard,Monthly,2024-06-21 00:34:28,Poor Service,823,11522.0,95,1,3,1,2
100004,Ayushman Chander,Female,India,Karnataka,1998-04-03,2022-10-22 21:14:11,Regular,2023-01-22 21:14:11,Standard,Monthly,,Active,834,42534.0,37,0,0,4,0
100005,Viraj Tiwari,Male,India,Uttar Pradesh,1995-12-10,2022-05-24 18:18:15,Regular,2022-09-16 18:18:15,Standard,Annual,,Active,708,41064.0,23,0,0,5,1
100006,Rushil Saini,Male,India,Maharashtra,1973-05-14,2023-12-13 12:08:30,Regular,2024-07-22 12:08:30,Basic,Annual,,Active,315,16695.0,16,0,0,5,1
100007,Saumya Mall,Male,India,Telangana,1979-01-21,2022-07-10 18:30:01,Premium,2022-10-05 18:30:01,Premium,Monthly,2023-02-25 18:30:01,Competitor,909,68538.6,72,1,1,5,4
100008,Nathaniel Sami,Female,India,Uttar Pradesh,1998-05-14,2024-02-03 21:33:36,Regular,2024-09-23 21:33:36,Basic,Monthly,,Active,428,15836.0,25,0,0,4,0
100009,Arunima Dugal,Female,India,Maharashtra,1972-05-06,2024-09-26 19:11:02,Regular,2025-08-23 19:11:02,Basic,Annual,,Active,443,16834.0,11,0,0,4,1
100010,Gayathri Chaudry,Female,India,Delhi,2000-04-09,2024-11-27 18:58:28,Regular,2025-10-06 18:58:28,Standard,Monthly,,Active,679,33271.0,35,0,0,4,0
